Date,Price,Open,High,Low,Vol.,Change %
2010-05-17,6641.88,"6,695.76","6,703.15","6,607.03",83.80M,-0.78%
2010-05-18,6761.28,"6,668.17","6,791.85","6,668.17",64.32M,1.80%
2010-05-19,6489.06,"6,741.97","6,741.97","6,489.06",104.12M,-4.03%
2010-05-20,6421.58,"6,465.38","6,530.84","6,421.58",94.58M,-1.04%
2010-05-23,6393.67,"6,424.00","6,437.83","6,363.76",56.09M,-0.43%
2010-05-24,6321.2,"6,493.35","6,524.92","6,321.20",78.40M,-1.13%
2010-05-25,5937.5,"6,153.74","6,153.74","5,936.49",106.93M,-6.07%
2010-05-26,6200.29,"5,983.62","6,201.90","5,983.62",121.96M,4.43%
2010-05-27,6337.51,"6,242.84","6,337.51","6,222.01",143.16M,2.21%
2010-05-30,6517.43,"6,444.70","6,561.23","6,444.70",137.39M,2.84%
2010-05-31,6549.02,"6,491.04","6,549.02","6,430.24",110.87M,0.48%
2010-06-01,6437.79,"6,600.12","6,601.19","6,437.79",118.86M,-1.70%
2010-06-02,6430.27,"6,417.21","6,434.08","6,381.11",101.59M,-0.12%
2010-06-03,6517.94,"6,523.20","6,565.54","6,517.61",114.50M,1.36%
2010-06-06,6366.82,"6,416.66","6,416.66","6,332.78",74.65M,-2.32%
2010-06-07,6311.92,"6,350.88","6,350.88","6,284.70",83.63M,-0.86%
2010-06-08,6312.85,"6,337.33","6,390.30","6,312.85",84.95M,0.01%
2010-06-09,6348.16,"6,347.24","6,365.25","6,331.96",90.66M,0.56%
2010-06-10,6243.09,"6,295.04","6,295.04","6,230.99",77.72M,-1.66%
2010-06-13,6300.84,"6,305.94","6,360.73","6,300.84",60.52M,0.93%
2010-06-14,6300.32,"6,298.33","6,321.10","6,293.34",87.04M,-0.01%
2010-06-15,6284.83,"6,278.12","6,291.64","6,252.60",137.86M,-0.25%
2010-06-16,6348.25,"6,291.81","6,366.32","6,291.81",87.98M,1.01%
2010-06-17,6418.39,"6,346.79","6,418.63","6,342.33",97.50M,1.10%
2010-06-20,6519.09,"6,435.52","6,519.29","6,435.52",87.42M,1.57%
2010-06-21,6547.13,"6,579.04","6,600.68","6,547.13",92.41M,0.43%
2010-06-22,6355.05,"6,519.36","6,519.36","6,355.05",56.70M,-2.93%
2010-06-23,6318.63,"6,311.44","6,318.63","6,281.00",63.93M,-0.57%
2010-06-24,6307.27,"6,334.16","6,361.90","6,307.27",45.55M,-0.18%
2010-06-27,6290.9,"6,308.27","6,308.27","6,253.58",26.58M,-0.26%
2010-06-28,6256.48,"6,285.17","6,297.22","6,256.48",53.97M,-0.55%
2010-06-29,6120.71,"6,238.54","6,238.54","6,099.94",62.54M,-2.17%
